Gordon Station,207210,151.154528,-33.75600864,10101121,02 9847 8458,"St Johns Ave, Gordon",2002|2003|2004|2005|2006|2014|2007|2008|2009|2010|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Gosford Station,225040,151.3417109,-33.42388261,10101139,02 4349 9260,"Mann St, Gosford",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,1001|1002|1005
Goulburn Station,258010,149.7192744,-34.75846191,10101315,02 4828 5816,"Sloane St, Goulburn",2003|2004|2005|2006|2007|2008|2011,3008|3010|3011,1001|1002|1005
Granville Station,214240,151.0124947,-33.83317598,10101227,02 9848 9388,"Bridge St, Granville",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Green Square Station,201710,151.2024745,-33.90606259,10101329,02 8337 8430,"Cnr Botany Rd & O'Riordan St, Alexandria",2004|2005|2006|2015|2007|2008|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Greta Station,233410,151.3840895,-32.68662215,10101188,02 6543 1018,"Nelson St, Greta",2004,3008|3010|3011|3020,1001
Guildford Station,216110,150.984361,-33.8545057,10101283,02 9848 9287,"Military Rd, Guildford",2002|2003|2004|2005|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Gymea Station,222710,151.0854766,-34.03489294,10101347,02 9522 1288,"Gymea Bay Rd, South Gymea",2003|2004|2005|2006|2015|2007|2008|2009|2010|2011,3001|3003|3005|3008|3009|3011,1001|1002|1005
Hamilton Station,230310,151.7488722,-32.91871348,10101161,02 4962 9365,"Beaumont St, Hamilton",2004|2005|2006|2014|2007|2008,3003|3004|3008|3009|3010|3011|3017,1001|1002|1005
Harris Park Station,215010,151.0076387,-33.82326002,10101228,02 9848 9386,"Station St, Harris Park",2004|2005|2006|2015|2007|2008|2011|2013,3003|3008|3010|3011,1001
Hawkesbury River Station,208310,151.2265104,-33.54678835,10101133,02 9985 7224,"Dangar Rd, Brooklyn",2004|2005|2007|2008,3003|3008|3009|3010|3011,1001|1002|1003
Hazelbrook Station,277910,150.4546038,-33.72397351,10101263,02 4780 3913,"Railway Pde, Hazelbrook",2001|2003|2004|2006|2015|2007|2008|2009|2010,3003|3008|3010|3011|3017,1001|1002|1005
Heathcote Station,223320,151.0080024,-34.08823661,10101354,02 9522 1221,"Princes Hwy, Heathcote",2002|2003|2004|2005|2006|2015|2007|2008|2009|2010,3003|3006|3009|3010|3011,1001|1005
Helensburgh Station,250810,150.9948249,-34.17686988,10101356,02 4223 5864,"Wilsons Creek Rd, Helensburgh",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011|3017,1001|1002|1005
